star_type,temperature,radius_km,distance_ls,distance_au,heat,pred_v82_power,error_v82,abs_error_v82,pred_v80_ergod,error_v80,abs_error_v80,improvement
F7,6557.0,1110705.0,5663.0,11.348697394789578,15.2,17.198301316178448,1.9983013161784484,1.9983013161784484,51.083382723374285,35.88338272337428,35.88338272337428,33.885081407195834
A9,8046.0,869284.0,513.0,1.028056112224449,78.6,74.95721576473495,-3.64278423526504,3.64278423526504,97.17715429921392,18.57715429921393,18.57715429921393,14.93437006394889
A9,8046.0,869284.0,537.0,1.0761523046092183,77.7,74.04129084049667,-3.6587091595033314,3.6587091595033314,97.04706025823171,19.347060258231707,19.347060258231707,15.688351098728376
A9,8046.0,869284.0,1849.0,3.7054108216432864,42.9,42.31758427344262,-0.5824157265573788,0.5824157265573788,90.19401226495125,47.294012264951256,47.294012264951256,46.71159653839388
M2,3642.0,490666.0,4.0,0.0080160320641282,98.3,97.7596009160853,-0.5403990839146928,0.5403990839146928,98.21767588651096,-0.08232411348903668,0.08232411348903668,-0.45807497042565615
M2,3642.0,490666.0,171.0,0.342685370741483,52.4,47.93568875525485,-4.464311244745147,4.464311244745147,46.35618386305374,-6.043816136946262,6.043816136946262,1.5795048922011148
M2,3642.0,490666.0,461.0,0.9238476953907816,24.4,23.17704594819149,-1.2229540518085074,1.2229540518085074,12.5851251278163,-11.8148748721837,11.8148748721837,10.591920820375192
M0,2228.0,144275.0,3.0,0.0060120240480961,91.0,86.6461374468682,-4.353862553131805,4.353862553131805,88.65325685637728,-2.3467431436227173,2.3467431436227173,-2.0071194095090874
M0,2228.0,144275.0,26.0,0.0521042084168336,43.2,39.996264717029874,-3.203735282970129,3.203735282970129,35.21172942078316,-7.988270579216845,7.988270579216845,4.784535296246716
M0,2228.0,144275.0,160.0,0.3206412825651302,8.0,7.243075183820582,-0.756924816179418,0.756924816179418,0.16232437103895914,-7.8376756289610405,7.8376756289610405,7.0807508127816225
G9,5341.0,596243.0,24.0,0.0480961923847695,96.8,96.325804663488,-0.474195336512011,0.474195336512011,98.57904052956626,1.7790405295662595,1.7790405295662595,1.3048451930542484
G9,5341.0,596243.0,122.0,0.2444889779559118,84.4,83.49606040255622,-0.9039395974437808,0.9039395974437808,92.98330595370963,8.583305953709626,8.583305953709626,7.679366356265845
G9,5341.0,596243.0,2343.0,4.695390781563126,12.9,16.792020838641026,3.8920208386410255,3.8920208386410255,24.7297821773878,11.8297821773878,11.8297821773878,7.937761338746775
G9,5341.0,596243.0,9664.0,19.36673346693387,3.1,3.353794501899031,0.2537945018990308,0.2537945018990308,0.31423915932148744,-2.785760840678513,2.785760840678513,2.531966338779482
M0,3910.0,413438.0,22.0,0.0440881763527054,90.4,88.59160597377975,-1.808394026220256,1.808394026220256,91.03758342957283,0.6375834295728282,0.6375834295728282,-1.1708105966474278
M0,3910.0,413438.0,2694.0,5.398797595190381,3.6,3.291086975920754,-0.3089130240792461,0.3089130240792461,0.0010148267855505028,-3.5989851732144498,3.5989851732144498,3.2900721491352036
M2,3635.0,281533.0,21.0,0.0420841683366733,85.1,81.89692382004506,-3.203076179954934,3.203076179954934,85.51313743339583,0.413137433395832,0.413137433395832,-2.789938746559102
M2,3635.0,281533.0,103.0,0.2064128256513026,45.6,45.8290654482201,0.2290654482200977,0.2290654482200977,46.41274626867193,0.8127462686719298,0.8127462686719298,0.5836808204518321
M2,3635.0,281533.0,3672.0,7.35871743486974,1.5,1.0597458100886306,-0.4402541899113694,0.4402541899113694,1.3045379838497214e-10,-1.4999999998695461,1.4999999998695461,1.0597458099581767
M2,3635.0,281533.0,24647.0,49.39278557114229,0.2,0.0839606402093519,-0.1160393597906481,0.1160393597906481,1.695160340481348e-78,-0.2,0.2,0.08396064020935191
G5,5729.0,718920.0,1017.0,2.038076152304609,31.7,46.39792499905785,14.69792499905785,14.69792499905785,67.26022589062217,35.56022589062216,35.56022589062216,20.862300891564313
G5,5729.0,718920.0,5938.0,11.899799599198396,5.9,10.058041953511134,4.158041953511134,4.158041953511134,9.870187021629897,3.970187021629897,3.970187021629897,-0.1878549318812368
M1,2022.0,109022.0,15.0,0.0300601202404809,44.8,43.39293411750085,-1.4070658824991469,1.4070658824991469,40.335217132272184,-4.464782867727813,4.464782867727813,3.057716985228666
M1,2022.0,109022.0,43.0,0.0861723446893787,18.6,18.74619429193795,0.1461942919379488,0.1461942919379488,7.4067657724027836,-11.193234227597218,11.193234227597218,11.047039935659269
M1,2022.0,109022.0,97.0,0.1943887775551102,8.5,7.914253889254644,-0.5857461107453563,0.5857461107453563,0.2818982942619729,-8.218101705738027,8.218101705738027,7.632355594992671
F6,6837.0,860526.0,156.0,0.312625250501002,90.9,88.9842360172906,-1.9157639827094075,1.9157639827094075,97.8112729526232,6.911272952623193,6.911272952623193,4.995508969913786
F6,6837.0,860526.0,1049.0,2.102204408817636,51.6,51.77485533652949,0.1748553365294824,0.1748553365294824,86.17307439286718,34.57307439286718,34.57307439286718,34.398219056337695
K4,4764.0,634758.0,63.0,0.12625250501002,89.6,87.94748737551039,-1.652512624489603,1.652512624489603,94.75541677787459,5.155416777874592,5.155416777874592,3.502904153384989
