star_type,heat,predicted_heat,error,abs_error,pct_error
M4,11.4,6.771653858608317,-4.628346141391684,4.628346141391684,40.5995275560674
M1,55.3,33.35519317004909,-21.944806829950902,21.944806829950902,39.68319499086962
M5,89.0,88.11235762581421,-0.8876423741857877,0.8876423741857877,0.9973509822312222
M5,47.5,50.9050397576713,3.4050397576712967,3.4050397576712967,7.168504752992204
M5,45.0,48.92450514040036,3.9245051404003632,3.9245051404003632,8.72112253422303
M5,33.1,37.88232934372897,4.782329343728968,4.782329343728968,14.44812490552558
M5,18.5,22.515612791840592,4.015612791840592,4.015612791840592,21.706015091030228
M1,86.5,80.14443612919763,-6.355563870802371,6.355563870802371,7.3474726830085215
M1,55.0,46.93521084040527,-8.064789159594731,8.064789159594731,14.663253017444966
M1,17.3,14.70997400142305,-2.590025998576952,2.590025998576952,14.971248546687582
M1,11.2,9.11034431478394,-2.0896556852160586,2.0896556852160586,18.657640046571952
G5,32.4,42.39485032225422,9.994850322254225,9.994850322254225,30.848303463747605
K0,54.3,53.8064689130194,-0.493531086980596,0.493531086980596,0.9088970294301952
K0,49.0,49.33292086432333,0.3329208643233272,0.3329208643233272,0.679430335353729
G9,96.8,97.68345740153734,0.883457401537342,0.883457401537342,0.9126626048939483
G9,84.4,88.49760918993701,4.097609189937003,4.097609189937003,4.854987191868487
M0,91.0,91.61565992007904,0.6156599200790396,0.6156599200790396,0.6765493627242193
M0,43.2,43.95957955859615,0.759579558596144,0.759579558596144,1.7582860152688518
M0,8.0,8.20248987909706,0.2024898790970599,0.2024898790970599,2.5311234887132485
M2,98.3,98.42809152602848,0.1280915260284842,0.1280915260284842,0.13030674061900732
M2,74.8,70.23554805313549,-4.564451946864509,4.564451946864509,6.102208485112979
M2,52.4,49.90797212557083,-2.4920278744291693,2.4920278744291693,4.7557783863152086
M2,24.5,24.80472487877918,0.3047248787791794,0.3047248787791794,1.243775015425222
K4,89.6,84.07819558147584,-5.521804418524155,5.521804418524155,6.162728145674281
K4,70.8,62.40897821684404,-8.391021783155956,8.391021783155956,11.851725682423668
K4,65.7,57.39724628660464,-8.302753713395362,8.302753713395362,12.6373724709214
K4,52.0,45.19782335534905,-6.802176644650949,6.802176644650949,13.081108932021055
M0,63.7,64.38465990211884,0.6846599021188382,0.6846599021188382,1.0748193125884429
M0,17.6,21.234097477693435,3.634097477693434,3.634097477693434,20.648281123258144
M2,70.4,68.19443946598795,-2.2055605340120508,2.2055605340120508,3.132898485812572
M2,51.9,52.08852132581516,0.1885213258151594,0.1885213258151594,0.3632395487768004
F2,98.7,99.39454706592105,0.6945470659210429,0.6945470659210429,0.7036951022502967
F2,93.4,96.42280392768473,3.02280392768472,3.02280392768472,3.2364067748230405
F2,91.5,95.38063940298048,3.880639402980478,3.880639402980478,4.241135959541506
F2,83.2,90.9530611628958,7.753061162895804,7.753061162895804,9.318583128480533
M0,48.9,45.44511927240875,-3.454880727591245,3.454880727591245,7.0651957619452865
M9,46.1,54.63343862334077,8.533438623340771,8.533438623340771,18.510712848895384
M9,10.0,14.50864017625697,4.50864017625697,4.50864017625697,45.08640176256969
M2,85.4,91.22618910041484,5.826189100414837,5.826189100414837,6.822235480579433
M2,70.5,82.18422001897052,11.68422001897052,11.68422001897052,16.573361729036197
M2,20.7,40.34790170656574,19.647901706565744,19.647901706565744,94.91739954862678
M4,73.7,65.47067945831292,-8.229320541687088,8.229320541687088,11.165970884242995
M4,56.0,48.632577947917525,-7.367422052082475,7.367422052082475,13.156110807290133
M4,8.5,6.749232906822415,-1.7507670931775854,1.7507670931775854,20.5972599197363
M2,53.6,59.20248867739141,5.602488677391406,5.602488677391406,10.452404248864564
M0,46.7,48.60206436327308,1.9020643632730767,1.9020643632730767,4.072942962040849
M0,26.2,29.65806800405733,3.4580680040573317,3.4580680040573317,13.198732839913479
M4,91.2,86.39906179816249,-4.800938201837511,4.800938201837511,5.264186624821832
M4,77.6,68.53217783210889,-9.067822167891109,9.067822167891109,11.685337845220502
M4,68.3,58.65971896707519,-9.640281032924804,9.640281032924804,14.114613518191515
